Name,Profile Link,Title,Location,Rate per Hour,Job Success Score,Total Earnings,Cateogry
mikehurley,https://www.freelancer.pk/u/mikehurley,Social Media - Google Ad-Guest Post- SEO -Backlink,India,$25 USD / hour,4.9,100,India
weblinkbuilding,https://www.freelancer.pk/u/weblinkbuilding,White Hat SEO|SMM|Google Ads|Wordpress|Shopify,India,$8 USD / hour,4.9,100,India
akshay0507,https://www.freelancer.pk/u/akshay0507,SEO | Google Ads | SMO | SMM |Guest Post,India,$4 USD / hour,4.9,80.621,India
vovapod,https://www.freelancer.pk/u/vovapod,Top 1% Account |Node.js |Coding |React |WordPress,Ukraine,$30 USD / hour,5,3.7,Ukraine
ranjansingh006,https://www.freelancer.pk/u/ranjansingh006,"Expert In WordPress, WooCommerce and Shopify",India,$25 USD / hour,5,5.9,India
zainali033,https://www.freelancer.pk/u/zainali033,GTM &  GA4 | Conversion Tracking | Paid Ads,Pakistan,$30 USD / hour,4.6,3.9,Pakistan
eyenetindia,https://www.freelancer.pk/u/eyenetindia,LOGO | ILLUSTRATION | PHOTOSHOP | WEBSITE | SEO,India,$22 USD / hour,5,3.3,India
chanchalsharma27,https://www.freelancer.pk/u/chanchalsharma27,Recommended By Freelancer | TOP 2% | Verified FL,India,$22 USD / hour,5,3.9,India
kishwariqbal767,https://www.freelancer.pk/u/kishwariqbal767,"SEO, Link Building, Shopify, & Product Listing",Pakistan,$10 USD / hour,5,3.2,Pakistan
emeritus01,https://www.freelancer.pk/u/emeritus01,"Translation, Voice over, Data Entry",Bosnia and Herzegovina,$20 USD / hour,5,3.1,Bosnia and Herzegovina
DigitalArcanum,https://www.freelancer.pk/u/DigitalArcanum,Verified by Freelancer.com ! Among Top 5% Talent,Pakistan,$20 USD / hour,4.8,5.4,Pakistan
EngrAkmal,https://www.freelancer.pk/u/EngrAkmal,Web Developer & Web Designer ✅,Pakistan,$18 USD / hour,5,3.3,Pakistan
adrianmaynardny,https://www.freelancer.pk/u/adrianmaynardny,"✅ Verified Full-Stack Developer (PHP, Typescript)",United States,$80 USD / hour,5,3.1,United States
mikehurley,https://www.freelancer.pk/u/mikehurley,Social Media - Google Ad-Guest Post- SEO -Backlink,India,$25 USD / hour,4.9,100,India
weblinkbuilding,https://www.freelancer.pk/u/weblinkbuilding,White Hat SEO|SMM|Google Ads|Wordpress|Shopify,India,$8 USD / hour,4.9,100,India
akshay0507,https://www.freelancer.pk/u/akshay0507,SEO | Google Ads | SMO | SMM |Guest Post,India,$4 USD / hour,4.9,80.621,India
ha86758675,https://www.freelancer.pk/u/ha86758675,"shopify, Product Sourcing & SEO Expert",Pakistan,$5 USD / hour,4.7,3.1,Pakistan
QuratulAen313,https://www.freelancer.pk/u/QuratulAen313,SEO & SMM Expert | WordPress & Graphic Designer,Pakistan,$7 USD / hour,5,3.2,Pakistan
miansaif727,https://www.freelancer.pk/u/miansaif727,Wordpress - Shopify- Data Scraping- Data Entry-SEO,Pakistan,$5 USD / hour,4.9,3.1,Pakistan
thesmartvmp,https://www.freelancer.pk/u/thesmartvmp,Guaranteed Satisfaction. On Time Delivery.,India,$40 USD / hour,5,8.2,India
pixxelu16,https://www.freelancer.pk/u/pixxelu16,WordPress / Laravel /Node.js/Shopify/ React / PHP,India,$15 USD / hour,5,4.5,India
