Name,Profile Link,Title,Location,Rate per Hour,Job Success Score,Total Earnings,Category
ZohaibRoy,https://www.freelancer.pk/u/ZohaibRoy,✅Web✅Scraping✅Python✅Automation✅Bots✅Desktop✅AI/ML,Pakistan,$20 USD / hour,5.0,3.8,software-development
sivakumar676,https://www.freelancer.pk/u/sivakumar676,⚡Actions Speak Louder Than Words⚡FATEFUL Developer,India,$20 USD / hour,5.0,3.8,software-development
Lightcanon,https://www.freelancer.pk/u/Lightcanon,Software Engineer | Computer Vision | Electronics,Egypt,$40 USD / hour,5.0,4.6,software-development
maverick44000,https://www.freelancer.pk/u/maverick44000,Outlook Add-ins | Excel | C#,Pakistan,$40 USD / hour,4.9,5.2,software-development
DebasisB,https://www.freelancer.pk/u/DebasisB,"Consultant/Software Developer(.Net,Java,Python)",India,$80 USD / hour,5.0,4.8,software-development
imtyzooel71n,https://www.freelancer.pk/u/imtyzooel71n,Senior Python Developer and Web Scraping Expert,Bangladesh,$30 USD / hour,5.0,3.9,software-development
IshaqKN,https://www.freelancer.pk/u/IshaqKN,Professional Python Developer ⁽ᵃᵖᵖʳᵒᵛᵉᵈ⁾,Pakistan,$25 USD / hour,5.0,6.1,software-development
divumanocha,https://www.freelancer.pk/u/divumanocha,Full Stack | Top 2% of Shopify | Odoo | PHP| MySQL,India,$20 USD / hour,5.0,3.5,software-development
elhadfi,https://www.freelancer.pk/u/elhadfi,Full-Stack Developer | Data Scientist |  AI Expert,Morocco,$25 USD / hour,5.0,3.4,software-development
ahmedhassan52,https://www.freelancer.pk/u/ahmedhassan52,"Preferred Full Stack ""TOP 3% Cloud & Security""",Egypt,$100 USD / hour,5.0,3.0,software-development
sinsintro,https://www.freelancer.pk/u/sinsintro,Game developer,Egypt,$20 USD / hour,5.0,2.8,software-development
yieoyo,https://www.freelancer.pk/u/yieoyo,Google Certified | 100% Job Completion | Top 1%,Bangladesh,$25 USD / hour,5.0,2.8,software-development
usmanbashir12100,https://www.freelancer.pk/u/usmanbashir12100,✅ Top Rated ✅ 4+ Years Exp ✅ Verified Freelancer,Pakistan,$25 USD / hour,4.6,2.8,software-development
h42iki,https://www.freelancer.pk/u/h42iki,Web Scraping / Puppeteer / Node.js / Extensions,Turkey,$17 USD / hour,5.0,2.6,software-development
toriquldev123,https://www.freelancer.pk/u/toriquldev123,"Professional Translation, Web design & development",Bangladesh,$15 USD / hour,5.0,2.4,software-development
REPLATechnology,https://www.freelancer.pk/u/REPLATechnology,Best Performer verified by Freelancer.com,Pakistan,$30 USD / hour,5.0,2.3,software-development
OmarFarukBD,https://www.freelancer.pk/u/OmarFarukBD,Highly Recommended | TOP 1% | Verified by FL Staff,Bangladesh,$60 USD / hour,5.0,2.6,software-development
jeghalef,https://www.freelancer.pk/u/jeghalef,Full Stack Developer,Canada,$40 USD / hour,3.6,2.3,software-development
gm341473,https://www.freelancer.pk/u/gm341473,Python | Machine Learning | Deep Learning | AI,Pakistan,$20 USD / hour,5.0,2.0,software-development
mughiraaa,https://www.freelancer.pk/u/mughiraaa,Providing Complete Software Solutions,Pakistan,$50 USD / hour,5.0,1.4,software-development
meharites,https://www.freelancer.pk/u/meharites,Full-stack web | mobile app |Virtual assistant,Ethiopia,$12 USD / hour,4.6,1.4,software-development
smnajamulhaque,https://www.freelancer.pk/u/smnajamulhaque,"OpenCV, Python, YOLO, Flutter, React, AI",Pakistan,$5 USD / hour,5.0,1.0,software-development
PiroKe,https://www.freelancer.pk/u/PiroKe,"Web Developer | Python, Automation, API,LLM | More",Georgia,$30 USD / hour,5.0,0.9,software-development
MasterForex,https://www.freelancer.pk/u/MasterForex,MQL4 and MQL5 developer,Uzbekistan,$12 USD / hour,4.9,2.6,software-development
tomatorivera,https://www.freelancer.pk/u/tomatorivera,Java Backend - C# .NET Desktop - Minecraft Dev,Argentina,$15 USD / hour,5.0,0.8,software-development
tomatorivera,https://www.freelancer.pk/u/tomatorivera,Java Backend - C# .NET Desktop - Minecraft Dev,Argentina,$15 USD / hour,5.0,0.8,software-development
nadeeshancooray,https://www.freelancer.pk/u/nadeeshancooray,✅Full Stack Web ✅Desktop Automation ✅Scraping,Sri Lanka,$15 USD / hour,5.0,3.1,software-development
momtajakter,https://www.freelancer.pk/u/momtajakter,Software engineer,Bangladesh,$12 USD / hour,5.0,4.6,software-development
agustinavilac,https://www.freelancer.pk/u/agustinavilac,Tecnólogo en Sistemas de Información,Colombia,$10 USD / hour,4.9,2.7,software-development
vasiraj007,https://www.freelancer.pk/u/vasiraj007,PLC/SCADA/I&C Senior Specialist Engineer,India,$12 USD / hour,4.8,4.1,software-development
martinbre,https://www.freelancer.pk/u/martinbre,Analista/desarrollador/seguridad,Argentina,$20 USD / hour,5.0,1.4,software-development
ikhan9985,https://www.freelancer.pk/u/ikhan9985,Data Scientist | Software Engineer | Python Dev.,Pakistan,$50 USD / hour,5.0,4.0,software-development
JUSTDIGITALPVT,https://www.freelancer.pk/u/JUSTDIGITALPVT,"TOP 3% LOGO,BRANDING,WEB DESIGN & WEB DEVELOPMENT",Pakistan,$25 USD / hour,5.0,4.4,software-development
sergioes,https://www.freelancer.pk/u/sergioes,Agile Project Manager | Lead Developer | Developer,Spain,$60 USD / hour,5.0,2.4,software-development
aqsis1,https://www.freelancer.pk/u/aqsis1,Software Architect and Engineer,United Kingdom,$65 USD / hour,5.0,3.9,software-development
dany3j,https://www.freelancer.pk/u/dany3j,✅ IT. Software Developer ⭐️⭐️⭐️⭐️⭐️,Venezuela,$30 USD / hour,5.0,3.9,software-development
gr8tech,https://www.freelancer.pk/u/gr8tech,Python/Django/C/C++/Excel/Software Developer,Zimbabwe,$30 USD / hour,4.8,3.2,software-development
Rahat536,https://www.freelancer.pk/u/Rahat536,"Programmer, Web Developer",Bangladesh,$5 USD / hour,5.0,1.2,software-development
papon13,https://www.freelancer.pk/u/papon13,Lead:- C# | ASP.NET Core | React | Blazor | MVC,Bangladesh,$40 USD / hour,4.9,4.0,software-development
sanjay2004,https://www.freelancer.pk/u/sanjay2004,Rank #1 ~ 2050++ Reviews~WP~Shopify~Magento~SEO,India,$21 USD / hour,4.9,5.5,software-development
davidkirchevbg,https://www.freelancer.pk/u/davidkirchevbg,Full-stack developer | .NET | SQL | MERN and more,Bulgaria,$17 USD / hour,5.0,0.7,software-development
Proolancer,https://www.freelancer.pk/u/Proolancer,✅3%Top Freelancers ✅13 years of experience in .Net,Morocco,$35 USD / hour,5.0,3.5,software-development
FabioFelgueiras,https://www.freelancer.pk/u/FabioFelgueiras,Portuguese Freelancer,Portugal,$12 USD / hour,5.0,3.3,software-development
riteshjain009,https://www.freelancer.pk/u/riteshjain009,Fastest Growing Web and Mobile App Company,India,$25 USD / hour,5.0,5.9,software-development
Baraiya,https://www.freelancer.pk/u/Baraiya,Hire me for higher quality work,India,$23 USD / hour,4.7,3.0,software-development
Synet,https://www.freelancer.pk/u/Synet,Web Design | Mobile Apps | Digital Marketing,United Arab Emirates,$66 USD / hour,4.4,3.0,software-development
abugosia,https://www.freelancer.pk/u/abugosia,ASP.NET-MVC-CORE-ORCHARD-NOPCOMMERCE-SHOPIFY-PHP,Pakistan,$30 USD / hour,5.0,1.9,software-development
ZIED,https://www.freelancer.pk/u/ZIED,Top 3% of freelancers,Tunisia,$10 USD / hour,5.0,2.0,software-development
djcarras,https://www.freelancer.pk/u/djcarras,full stack developer | Prestashop expert,Chile,$38 USD / hour,4.4,1.4,software-development
fattahaabdul,https://www.freelancer.pk/u/fattahaabdul,Top 1% Freelancer | Website |SaaS POS |APP |UI UX,India,$51 USD / hour,5.0,3.3,software-development
saad6047,https://www.freelancer.pk/u/saad6047,Full Stack Developer | Web | Mobile | Desktop,Pakistan,$25 USD / hour,5.0,3.1,software-development
mobimubasir,https://www.freelancer.pk/u/mobimubasir,Elite Freelancer | Top 2% Global Talent,Pakistan,$20 USD / hour,5.0,1.1,software-development
NehalSK,https://www.freelancer.pk/u/NehalSK,Full stack Developer / Software Engineer,India,$30 USD / hour,5.0,2.2,software-development
khaldalfalah,https://www.freelancer.pk/u/khaldalfalah,Software Engineer(vb.net developer),Turkey,$20 USD / hour,5.0,0.3,software-development
PigtailXL,https://www.freelancer.pk/u/PigtailXL,Web Scraping | Software Development | R.P.A.,Argentina,$35 USD / hour,5.0,5.8,software-development
DigitalArcanum,https://www.freelancer.pk/u/DigitalArcanum,Verified by Freelancer.com ! Among Top 5% Talent,Pakistan,$20 USD / hour,5.0,3.2,software-development
ghanshyamsain,https://www.freelancer.pk/u/ghanshyamsain,PHP/Laravel/WordPress/WooCommerce/ Shopify/Magento,India,$20 USD / hour,5.0,3.3,software-development
kaloyan13,https://www.freelancer.pk/u/kaloyan13,C/C++/Python/Java/Bash Linux programming,Bulgaria,$10 USD / hour,5.0,4.2,software-development
hariskhan1989,https://www.freelancer.pk/u/hariskhan1989,Software Developer,Pakistan,$45 USD / hour,5.0,0.6,software-development
rainbow,https://www.freelancer.pk/u/rainbow,shashikhan,India,$20 USD / hour,4.4,3.8,software-development
WeirdMix,https://www.freelancer.pk/u/WeirdMix,Senior Developer specialist in Microsoft techs,Mexico,$35 USD / hour,5.0,1.6,software-development
XpertLabIndia,https://www.freelancer.pk/u/XpertLabIndia,work till perfection...,India,$10 USD / hour,5.0,4.8,software-development
zekovicm,https://www.freelancer.pk/u/zekovicm,"Web, Software, IOS/Android App Development & more",Bosnia and Herzegovina,$40 USD / hour,5.0,4.7,software-development
ElSakr,https://www.freelancer.pk/u/ElSakr,Software Engineer,Egypt,$50 USD / hour,5.0,5.9,software-development
visionvivante,https://www.freelancer.pk/u/visionvivante,Fullstack Website & Mobile App Development Company,India,$25 USD / hour,4.7,6.0,software-development
mehboobafridi786,https://www.freelancer.pk/u/mehboobafridi786,✨Amazon ✨eBay ✨Shopify ✨Woo ✨PHP ✨.Net ✨API,Pakistan,$45 USD / hour,5.0,4.2,software-development
conceptsview,https://www.freelancer.pk/u/conceptsview,"WordPress, Shopify, PHP, React, Vue & React Native",Bangladesh,$50 USD / hour,5.0,4.0,software-development
abhi98041,https://www.freelancer.pk/u/abhi98041,Highly Recommended | TOP 1% | Verified by FL Staff,India,$20 USD / hour,5.0,1.8,software-development
bishnudev3,https://www.freelancer.pk/u/bishnudev3,AWS | Azure | Cloud | Linux | Windows Support,India,$18 USD / hour,5.0,0.3,software-development
graphicaa,https://www.freelancer.pk/u/graphicaa,⭐⭐⭐⭐⭐ 15 + Years Custom PHP Development Pro,India,$12 USD / hour,4.7,5.8,software-development
fah15,https://www.freelancer.pk/u/fah15,14+ Years of Experience | 650+ Projects Completed,Pakistan,$25 USD / hour,5.0,1.4,software-development
devstart1234,https://www.freelancer.pk/u/devstart1234,"Website & Application Expert, On-Time| Preferred",India,$12 USD / hour,3.2,3.8,software-development
Vladius85,https://www.freelancer.pk/u/Vladius85,"WEB Developer,  Delphi Programmer",Ukraine,$25 USD / hour,4.6,2.2,software-development
FaizMgeek,https://www.freelancer.pk/u/FaizMgeek,Python | React | Django | chatGPT | OpenAi | Node,India,$30 USD / hour,5.0,0.4,software-development
NoelReubenMuturi,https://www.freelancer.pk/u/NoelReubenMuturi,A BROAD-SPECTRUM FREELANCER,Kenya,$20 USD / hour,5.0,1.8,software-development
vw7209238vw,https://www.freelancer.pk/u/vw7209238vw,Database Web Fullstack Booststrap PHP Mysql Excel,Venezuela,$25 USD / hour,5.0,3.6,software-development
MWaqar5246,https://www.freelancer.pk/u/MWaqar5246,"Powered by intellect, driven by logic.",Pakistan,$30 USD / hour,5.0,3.4,software-development
Softeria,https://www.freelancer.pk/u/Softeria,Ph.D AI | Machine Learning| DL| PYTHON |AI Bots,Pakistan,$30 USD / hour,4.8,4.0,software-development
mehdi44,https://www.freelancer.pk/u/mehdi44,Wordpress | Woocommerce | Shopify | Gohighlevel,Bangladesh,$25 USD / hour,5.0,4.2,software-development
Tonisaha,https://www.freelancer.pk/u/Tonisaha,*Front end Guru  / *Wordpress  / *Shopify Solution,India,$5 USD / hour,5.0,1.8,software-development
jaylancer43,https://www.freelancer.pk/u/jaylancer43,#1 in Excel-VBA Macros-Python-Web Scraping-Gsheets,India,$60 USD / hour,4.9,5.1,software-development
specialist77,https://www.freelancer.pk/u/specialist77,Your Software Engineering Partner,Croatia,$35 USD / hour,4.8,5.4,software-development
Julian29,https://www.freelancer.pk/u/Julian29,Android | iOS |Flutter |React Native |Backend,India,$16 USD / hour,4.3,5.4,software-development
furkanjl,https://www.freelancer.pk/u/furkanjl,Full Stack Developer,Turkey,$40 USD / hour,5.0,1.9,software-development
finecodervw,https://www.freelancer.pk/u/finecodervw,"Programmer, VBA, Google Sheets, Access, Power BI",India,$50 USD / hour,5.0,2.9,software-development
IftekharSadat,https://www.freelancer.pk/u/IftekharSadat,LearnersCare LLC | Udemy’s AI Course Creation Team,Bangladesh,$50 USD / hour,5.0,3.8,software-development
qprotex,https://www.freelancer.pk/u/qprotex,Senior Software Architect,United States,$120 USD / hour,4.9,6.5,software-development
globaltechnosys,https://www.freelancer.pk/u/globaltechnosys,Laravel | CI | MERN | Flutter | Native mobile apps,India,$15 USD / hour,5.0,4.2,software-development
WebChapters,https://www.freelancer.pk/u/WebChapters,"Complete solutions: Development, Design, Marketing",Pakistan,$50 USD / hour,4.2,3.3,software-development
aistechnolabs,https://www.freelancer.pk/u/aistechnolabs,Recommended Agency By Freelancer.com,India,$20 USD / hour,5.0,6.5,software-development
techorigine,https://www.freelancer.pk/u/techorigine,Professional Web Developer/Coder/Designer,India,$24 USD / hour,5.0,2.4,software-development
monitrix,https://www.freelancer.pk/u/monitrix,Compare & Select || Top 1% Web & Mobile Developers,India,$30 USD / hour,4.9,6.6,software-development
adeelpirzada,https://www.freelancer.pk/u/adeelpirzada,✅ Microsoft Certified | DotNet | C# | Python | A.I,Pakistan,$30 USD / hour,5.0,3.0,software-development
michale21,https://www.freelancer.pk/u/michale21,Websites | Mobile App | Hybrid App | ECommerce,India,$10 USD / hour,5.0,6.1,software-development
mohit1427,https://www.freelancer.pk/u/mohit1427,Web developer | WordPress | Woo commerce | Laravel,India,$40 USD / hour,5.0,2.8,software-development
technosystem,https://www.freelancer.pk/u/technosystem,Website | Blockchain | Mobile | Graphics | Apps,India,$65 USD / hour,5.0,6.0,software-development
michale21,https://www.freelancer.pk/u/michale21,Websites | Mobile App | Hybrid App | ECommerce,India,$10 USD / hour,5.0,6.1,software-development
prakash2813,https://www.freelancer.pk/u/prakash2813,Full Stack Java Developer,India,$30 USD / hour,5.0,4.3,software-development
ePlatinum,https://www.freelancer.pk/u/ePlatinum,Top 1% Freelancers | FULL STACK | WEB | MOBILE APP,India,$15 USD / hour,5.0,6.2,software-development
dinesh4nitb,https://www.freelancer.pk/u/dinesh4nitb,Top 1% | Android | iOS | Backend | VERIFIED ✅,India,$20 USD / hour,5.0,1.7,software-development
technovicinity,https://www.freelancer.pk/u/technovicinity,We're committed to provide the best Experience,Bangladesh,$25 USD / hour,5.0,4.5,software-development
milansahu2010,https://www.freelancer.pk/u/milansahu2010,Top 1% .Net Full-Stack talent at Freelancer,India,$20 USD / hour,5.0,1.3,software-development
uumarkhalid31,https://www.freelancer.pk/u/uumarkhalid31,Web Scraping Veteran | CEO @ Scraping Solution Ltd,United Kingdom,$20 USD / hour,5.0,1.2,software-development
kamiomar,https://www.freelancer.pk/u/kamiomar,Expert Full Stack Developer,Pakistan,$10 USD / hour,5.0,2.6,software-development
Attractionnet,https://www.freelancer.pk/u/Attractionnet,Programmer getting the job done!,Greece,$7 USD / hour,4.9,3.5,software-development
InternetOfThings,https://www.freelancer.pk/u/InternetOfThings,Certified IoT and LoRaWAN Specialist,Philippines,$50 USD / hour,5.0,4.2,software-development
Olywebart,https://www.freelancer.pk/u/Olywebart,Your move!,"Moldova, Republic of",$50 USD / hour,0.0,0.0,software-development
stefanodc87,https://www.freelancer.pk/u/stefanodc87,Senior software engineer,Italy,$200 USD / hour,0.0,0.0,software-development
lizin3,https://www.freelancer.pk/u/lizin3,Web & Python Expert  || Graphic Designer,Georgia,$35 USD / hour,0.0,0.0,software-development
bryank9,https://www.freelancer.pk/u/bryank9,Web Developer,United States,$35 USD / hour,0.0,0.0,software-development
jovans3,https://www.freelancer.pk/u/jovans3,Software || ML Engineer,Serbia,$40 USD / hour,0.0,0.0,software-development
newstar877,https://www.freelancer.pk/u/newstar877,Lead Software Developer & System Architect,United Kingdom,$20 USD / hour,0.0,0.0,software-development
jyothivasnair,https://www.freelancer.pk/u/jyothivasnair,Cloud & Enterprise Architect | Software Engineer,India,$75 USD / hour,0.0,0.0,software-development
laszlohunyadi,https://www.freelancer.pk/u/laszlohunyadi,Software Engineer,Spain,$15 USD / hour,0.0,0.0,software-development
deniskirilov0212,https://www.freelancer.pk/u/deniskirilov0212,Senior Full-stack developer,Bulgaria,$30 USD / hour,0.0,0.0,software-development
deniskirilov0212,https://www.freelancer.pk/u/deniskirilov0212,Senior Full-stack developer,Bulgaria,$30 USD / hour,0.0,0.0,software-development
Time2Sync,https://www.freelancer.pk/u/Time2Sync,"IOS, Android, Swagger API, .Net , CMS System, POS.",Canada,$30 USD / hour,0.0,0.0,software-development
rabbi64,https://www.freelancer.pk/u/rabbi64,life time IT students,Bangladesh,$20 USD / hour,0.0,0.0,software-development
Flavaslava9,https://www.freelancer.pk/u/Flavaslava9,Fullstack Webentwickler,Germany,$35 USD / hour,0.0,0.0,software-development
Scriptforever,https://www.freelancer.pk/u/Scriptforever,WEBSITE DEVELOPERS/DESIGNERS & WRITERS,Pakistan,$35 USD / hour,0.0,0.0,software-development
MalikzArslanAhma,https://www.freelancer.pk/u/MalikzArslanAhma,Web|Android|IOS|CMS Developer/Designer,Pakistan,$50 USD / hour,0.0,0.0,software-development
manpreetkaur991,https://www.freelancer.pk/u/manpreetkaur991,Full Stack Web and Mobile Developer,India,$12 USD / hour,0.0,0.0,software-development
vbcool7,https://www.freelancer.pk/u/vbcool7,Expert Mobile Apps & Web Developer,India,$20 USD / hour,0.0,0.0,software-development
ankitbagre2000,https://www.freelancer.pk/u/ankitbagre2000,Website I PHP |  React | Blockchain | Nodejs,India,$23 USD / hour,0.0,0.0,software-development
bestwmm,https://www.freelancer.pk/u/bestwmm,"Expert multi-domain, full-stack developer",Japan,$50 USD / hour,0.0,0.0,software-development
rabbi64,https://www.freelancer.pk/u/rabbi64,life time IT students,Bangladesh,$20 USD / hour,0.0,0.0,software-development
anaya8777,https://www.freelancer.pk/u/anaya8777,Wordpress Plugins | PHP | Python | Scrapping | 2D,India,$30 USD / hour,0.0,0.0,software-development
javaidurrehman,https://www.freelancer.pk/u/javaidurrehman,Web Programmer and Graphic Designing Expert.,Pakistan,$20 USD / hour,0.0,0.0,software-development
hieult0806,https://www.freelancer.pk/u/hieult0806,Recommended #1 Game Developer ✔️,Vietnam,$60 USD / hour,0.0,0.0,software-development
Darwin21015,https://www.freelancer.pk/u/Darwin21015,Ing de Sistemas,Venezuela,$15 USD / hour,0.0,0.0,software-development
anand5537,https://www.freelancer.pk/u/anand5537,.NET | Core | Angular | React | Node,India,$20 USD / hour,0.0,0.0,software-development
ukrohit678,https://www.freelancer.pk/u/ukrohit678,Software Backend Developer,India,$25 USD / hour,0.0,0.0,software-development
arwamoizds,https://www.freelancer.pk/u/arwamoizds,Strategic | Creative | Solution-driven ⭐⭐⭐⭐⭐,Pakistan,$10 USD / hour,0.0,0.0,software-development
abusayed2004,https://www.freelancer.pk/u/abusayed2004,"Asterisk PBX, SIP, Linux, Cloud, DevOps, Security",Bangladesh,$50 USD / hour,0.0,3.6,software-development
Tereus77,https://www.freelancer.pk/u/Tereus77,Professional AI & Full Stack developer,Canada,$35 USD / hour,0.0,0.0,software-development
arfharwinder,https://www.freelancer.pk/u/arfharwinder,"Malware Removal, Web Security, WordPress Expert",India,$25 USD / hour,0.0,0.0,software-development
itdss,https://www.freelancer.pk/u/itdss,Full Stack Development,United Arab Emirates,$15 USD / hour,0.0,0.0,software-development
artemB2512,https://www.freelancer.pk/u/artemB2512,Software Engineer,Slovakia,$16 USD / hour,0.0,0.0,software-development
DanneyT,https://www.freelancer.pk/u/DanneyT,Senior Fullstack Developer,United States,$60 USD / hour,0.0,0.0,software-development
awanclan,https://www.freelancer.pk/u/awanclan,✅WEB/MOBILE TOP SERVICE WITH GUARANTEED QUALITY,Canada,$20 USD / hour,0.0,0.0,software-development
MohamedAliMousa,https://www.freelancer.pk/u/MohamedAliMousa,Full-Stack Developer,Egypt,$15 USD / hour,0.0,0.0,software-development
tvnetindia,https://www.freelancer.pk/u/tvnetindia,"Proficient in Python, SQL, Big Data, Web, Php, WP",India,$10 USD / hour,0.0,0.0,software-development
shamidakhtar,https://www.freelancer.pk/u/shamidakhtar,Full Stack Developer | Python| WordPress Expert,United States,$15 USD / hour,0.0,0.0,software-development
toscano97,https://www.freelancer.pk/u/toscano97,Senior Fullstack Developer,Italy,$30 USD / hour,0.0,0.0,software-development
hscker,https://www.freelancer.pk/u/hscker,Software engineer,Nigeria,$80 USD / hour,0.0,0.0,software-development
dalibor789,https://www.freelancer.pk/u/dalibor789,Full Stack Developer | Web & Blockchain,Serbia,$40 USD / hour,0.0,0.0,software-development
arsalanmac,https://www.freelancer.pk/u/arsalanmac,Software Architect | Web | BlockChain | Ai Expert,Pakistan,$20 USD / hour,0.0,0.0,software-development
frankdev0428,https://www.freelancer.pk/u/frankdev0428,Golang Engineer,United States,$25 USD / hour,0.0,0.0,software-development
Vavounofficial,https://www.freelancer.pk/u/Vavounofficial,Programmer and automation,Indonesia,$28 USD / hour,0.0,0.0,software-development
faijansaifi99,https://www.freelancer.pk/u/faijansaifi99,Full Stack Developer | Chrome Extension,India,$20 USD / hour,0.0,0.0,software-development
DWSol,https://www.freelancer.pk/u/DWSol,✔️WordPress✔️PHP✔️Laravel✔️SEO✔️Full Stack,Pakistan,$5 USD / hour,0.0,0.0,software-development
Pakeezaameen02,https://www.freelancer.pk/u/Pakeezaameen02,Software engineer,Pakistan,$20 USD / hour,0.0,0.0,software-development
devlancerwork,https://www.freelancer.pk/u/devlancerwork,Full Stack Developer,India,$5 USD / hour,0.0,0.0,software-development
DBVertexZone,https://www.freelancer.pk/u/DBVertexZone,Believe in Quality Design & Development,India,$5 USD / hour,0.0,0.0,software-development
m7d7y,https://www.freelancer.pk/u/m7d7y,websites developer,Egypt,$5 USD / hour,0.0,0.0,software-development
saiyammi7,https://www.freelancer.pk/u/saiyammi7,Senior Software Developer | React.js & Flutter,India,$5 USD / hour,0.0,0.0,software-development
tvnetindia,https://www.freelancer.pk/u/tvnetindia,"Proficient in Python, SQL, Big Data, Web, Php, WP",India,$10 USD / hour,0.0,0.0,software-development
hscker,https://www.freelancer.pk/u/hscker,Software engineer,Nigeria,$80 USD / hour,0.0,0.0,software-development
itdss,https://www.freelancer.pk/u/itdss,Full Stack Development,United Arab Emirates,$15 USD / hour,0.0,0.0,software-development
shamidakhtar,https://www.freelancer.pk/u/shamidakhtar,Full Stack Developer | Python| WordPress Expert,United States,$15 USD / hour,0.0,0.0,software-development
toscano97,https://www.freelancer.pk/u/toscano97,Senior Fullstack Developer,Italy,$30 USD / hour,0.0,0.0,software-development
jackson325,https://www.freelancer.pk/u/jackson325,Wordpress | Laravel | MERN | Django Developer,United States,$50 USD / hour,0.0,0.0,software-development
artemB2512,https://www.freelancer.pk/u/artemB2512,Software Engineer,Slovakia,$16 USD / hour,0.0,0.0,software-development
DanneyT,https://www.freelancer.pk/u/DanneyT,Senior Fullstack Developer,United States,$60 USD / hour,0.0,0.0,software-development
AlBarkawi,https://www.freelancer.pk/u/AlBarkawi,UDAH GAUSAH,Indonesia,$5 USD / hour,0.0,0.0,software-development
DBVertexZone,https://www.freelancer.pk/u/DBVertexZone,Believe in Quality Design & Development,India,$5 USD / hour,0.0,0.0,software-development
jamalait,https://www.freelancer.pk/u/jamalait,développeur fullstack,Morocco,$25 USD / hour,0.0,0.0,software-development
Rajoriadares,https://www.freelancer.pk/u/Rajoriadares,React | Node | Flutter | PHP | CI | Laravel Expert,India,$16 USD / hour,0.0,0.0,software-development
deepaksainiever9,https://www.freelancer.pk/u/deepaksainiever9,Fullstack Development,India,$12 USD / hour,0.0,0.0,software-development
wpcodersofficial,https://www.freelancer.pk/u/wpcodersofficial,"Web Design & Development, PHP, Wordpress",Pakistan,$25 USD / hour,0.0,0.0,software-development
cruizm1978,https://www.freelancer.pk/u/cruizm1978,"✅ Expert Web Developer | Html, Css, Php, Java   ✅",Peru,$25 USD / hour,0.0,0.0,software-development
sashapurica,https://www.freelancer.pk/u/sashapurica,Desarrollador,Argentina,$8 USD / hour,0.0,0.0,software-development
muskaannadaf,https://www.freelancer.pk/u/muskaannadaf,Website Developer | Graphic Designer | SEO,India,$10 USD / hour,0.0,0.0,software-development
jahangirkhan365,https://www.freelancer.pk/u/jahangirkhan365,WordPress | Flutter | Laravel | PHP | HTML5 | CSS,Pakistan,$40 USD / hour,0.0,0.0,software-development
ericgillette,https://www.freelancer.pk/u/ericgillette,https://www.ericgillette.com,United States,$80 USD / hour,0.0,0.0,software-development
cdltech,https://www.freelancer.pk/u/cdltech,Software Developer/Contractor,Sri Lanka,$30 USD / hour,0.0,0.0,software-development
legharik,https://www.freelancer.pk/u/legharik,Software Developer (Java),Pakistan,$41 USD / hour,0.0,0.0,software-development
